Step,BulletID,Team,X,Y,Heading
112,24,0,637.6,404.9,106.0
112,28,1,370.0,346.5,286.4
112,29,0,518.5,200.6,82.0
112,30,0,281.5,599.4,262.0
112,31,0,286.6,197.6,22.0
112,32,1,180.6,355.2,18.4
113,24,0,652.0,409.1,106.0
113,28,1,355.6,342.2,286.4
113,29,0,533.4,198.5,82.0
113,30,0,266.6,601.5,262.0
113,31,0,292.2,183.7,22.0
113,32,1,185.3,341.0,18.4
113,33,1,701.7,399.0,309.5
114,24,0,666.5,413.2,106.0
114,28,1,341.2,338.0,286.4
114,29,0,548.3,196.4,82.0
114,30,0,251.7,603.6,262.0
114,31,0,297.8,169.8,22.0
114,32,1,190.0,326.8,18.4
114,33,1,690.1,389.5,309.5
114,34,0,421.8,234.7,58.0
114,35,0,378.2,565.3,238.0
114,36,0,267.8,298.5,358.0
115,24,0,680.9,417.3,106.0
115,28,1,326.8,333.8,286.4
115,29,0,563.1,194.4,82.0
115,30,0,236.9,605.6,262.0
115,31,0,303.5,155.9,22.0
115,32,1,194.8,312.5,18.4
115,33,1,678.6,379.9,309.5
115,34,0,434.5,226.8,58.0
115,35,0,365.5,573.2,238.0
115,36,0,267.2,283.5,358.0
116,24,0,695.3,421.5,106.0
116,28,1,312.4,329.5,286.4
116,29,0,578.0,192.3,82.0
116,30,0,222.0,607.7,262.0
116,31,0,309.1,142.0,22.0
116,32,1,199.5,298.3,18.4
116,33,1,667.0,370.4,309.5
116,34,0,447.2,218.8,58.0
116,35,0,352.8,581.2,238.0
116,36,0,266.7,268.5,358.0
116,37,1,417.3,553.5,355.3
117,24,0,709.7,425.6,106.0
117,29,0,592.8,190.2,82.0
117,30,0,207.2,609.8,262.0
117,31,0,314.7,128.1,22.0
117,32,1,204.2,284.1,18.4
117,33,1,655.4,360.8,309.5
117,34,0,459.9,210.9,58.0
117,35,0,340.1,589.1,238.0
117,36,0,266.2,253.5,358.0
117,37,1,416.1,538.5,355.3
118,29,0,607.7,188.1,82.0
118,30,0,192.3,611.9,262.0
118,31,0,320.3,114.2,22.0
118,32,1,209.0,269.8,18.4
118,33,1,643.9,351.3,309.5
118,34,0,472.7,202.9,58.0
118,35,0,327.3,597.1,238.0
118,36,0,265.7,238.6,358.0
118,37,1,414.8,523.6,355.3
119,29,0,622.5,186.0,82.0
119,30,0,177.5,614.0,262.0
119,31,0,325.9,100.3,22.0
